Designator,Mid X,Mid Y,Rotation,Layer
C1,191.05,-153.875,0.0,bottom
C2,126.0,-170.9575,270.0,top
D1,162.73,-129.2,180.0,top
D2,161.46,-132.845,180.0,top
D3,162.67,-93.0,180.0,top
D4,161.4,-96.095,180.0,top
D5,131.6,-70.5,0.0,top
D6,132.87,-67.1,0.0,top
D7,131.66,-107.21,0.0,top
D8,132.93,-103.85,0.0,top
F1,200.5,-162.975,270.0,top
F2,185.8,-101.635,0.0,top
F3,185.96,-65.25,0.0,top
F4,108.44,-98.635,180.0,top
F5,108.5,-135.885,180.0,top
FL1,179.8575,-164.3575,180.0,top
J1,195.0,-142.4,90.0,top
J2,194.44,-115.385,90.0,top
J3,194.38,-78.635,90.0,top
J4,99.89,-84.56,270.0,top
J5,99.95,-121.31,270.0,top
J6,107.59,-173.6,270.0,top
J7,98.7685,-156.175,180.0,top
K1,170.69,-118.3,0.0,top
K2,170.85,-82.16,0.0,top
K3,123.55,-81.75,180.0,top
K4,123.61,-118.5,180.0,top
PS1,150.9575,-162.9575,180.0,top
Q1,151.25,-132.845,0.0,top
Q2,151.25,-96.095,0.0,top
Q3,144.0,-67.1,180.0,top
Q4,143.75,-103.8,180.0,top
R1,147.44,-140.5,0.0,top
R2,151.25,-108.17,90.0,top
R3,144.0,-78.17,90.0,top
R4,143.75,-113.86,90.0,top
RV1,191.05,-153.875,180.0,top
U2,111.4,-161.3,270.0,top
